epoch,loss
0,0.4446204833984375
1,0.11554407692328096
2,0.115302385404706
3,0.1155055436193943
4,0.11484042639285326
5,0.11428788787126541
6,0.11398400060087442
7,0.11532677861303091
8,0.11508763295412064
9,0.11327183262631298
10,0.11477261389791965
11,0.11404000583291053
12,0.11363045912235975
13,0.11408254283294082
14,0.1139002065807581
15,0.11417262782156468
16,0.11409006379544735
17,0.11382367273420095
18,0.11397860173881054
19,0.11371903885155916
20,0.11379358692467213
21,0.11388633795827627
22,0.11406162291765214
23,0.11429030725359916
24,0.11323871497809887
25,0.11457605134695768
26,0.11364139661937953
27,0.11347657300531865
28,0.11440394749492407
29,0.11387002094835043
30,0.11385192050784826
31,0.11351267135888338
32,0.1135766423419118
33,0.11401837522536516
34,0.11356288193166256
35,0.1144066907092929
36,0.11308195172995329
37,0.11385965836048126
38,0.11268075086548925
39,0.11382538475096225
40,0.11412352998554706
41,0.11289686133340002
42,0.11383257154375315
43,0.11353886269032955
44,0.11298321497440338
45,0.11391933250427246
46,0.11325478325784206
47,0.1139249593168497
48,0.11347481745481491
49,0.11415736507251859
50,0.11326835985854268
51,0.11303688152879476
52,0.11385520336031914
53,0.11387595511972905
54,0.11344120410084725
55,0.11263483367860318
56,0.11441536877676844
57,0.11321166076511145
58,0.11346506001800298
59,0.11365188202261925
60,0.11329436548054218
61,0.11394987711310386
62,0.11357499713450671
63,0.11363368259370327
64,0.1134918477460742
65,0.11438202404230834
66,0.11297875391691924
67,0.11324348555505276
68,0.113061148583889
69,0.11423482554405928
70,0.11329190864413977
71,0.11355197007954121
72,0.11377116882055997
73,0.11374953573942184
74,0.11305443235486747
75,0.11345643271133303
76,0.11415449395030737
77,0.1132822005674243
78,0.11192600919678808
79,0.11450924480706454
80,0.11355517602339386
81,0.11393355015665292
82,0.11273343886062503
83,0.11353247328847647
84,0.11334712982177735
85,0.11379390889406205
86,0.11361525298655033
87,0.11350894095003605
88,0.11384672758728266
89,0.1138423522785306
90,0.11345656524598599
91,0.11260086515545845
92,0.1134235248491168
93,0.1135070428699255
94,0.11404511708021164
95,0.11360405272245407
96,0.11353584542497992
97,0.11200908230245113
98,0.11382689471542835
99,0.11357775711268187
